x,y,cluster
0.1028304783884698,0.723316766736794,0
0.5188976508607182,0.9155527848293116,2
0.3538491261688613,0.7703135581185662,4
0.3032144157372889,0.754664865797953,3
0.2100704996395342,0.7780304921557345,0
0.04712102770027,0.6536914884190421,3
0.2244438046306918,0.8015400590524272,0
0.0718188372431849,0.7406049568405942,0
0.1376202476965228,0.5890308217063952,0
0.4530052960615653,0.927875831622046,1
0.4391716156941981,0.8184716895086962,4
0.0641246230650977,0.6190340970316527,4
0.3851596283929469,0.8652307309868877,0
0.3086863797331217,0.9902922402864563,0
0.2287440974195168,0.8000691506985029,2
0.1581161990797653,0.6805408001176585,3
0.0562735267319551,0.7357717119682784,0
0.2419152842030481,0.7584188955205328,0
0.0677861481383969,0.5790989566241902,0
0.3894120356104628,0.9931341299943528,1
0.1447134257071722,0.9120435655154095,0
0.407212693733943,0.9564808636168162,2
0.2385437090823065,0.8402027143387832,0
0.0665156666284376,0.580035920276184,0
0.0553339552056365,0.9046399736724492,0
0.2507009455240928,0.6523408604252361,0
0.0074165677412312,0.7711681432580608,3
0.4479026029598885,0.7697931934721474,4
0.2982280806183116,0.7642836996351818,2
0.0625443905125051,0.9588427718373042,3
0.2349519248645679,0.7467475387283098,0
0.167223431439949,0.9328327658067908,0
0.1121807248759865,0.8760274055356332,0
0.3281467170339021,0.901803481334276,0
0.3304700010562642,0.7492054197652507,0
0.1744175369083821,0.587300376541688,0
0.2931697146412706,0.9863664951681662,0
0.3908883918274015,0.7394815278573627,2
0.1099054392407548,0.745114998413111,0
0.2140928863207851,0.6590128818053328,0
0.2607005356994066,0.8616129201309429,3
0.0866173746247401,0.7580372432723653,0
0.4642218382991111,0.990416628624333,2
0.2935829009141035,0.7198234427571975,0
0.3475611344897849,0.788471795070381,0
0.4557002928188234,0.9232240057362,2
0.3968580449771182,0.8368248160634848,0
0.4280009080666369,0.7842141683090582,3
0.2047709396478535,0.5507230916339559,4
0.2333605026684526,0.7974364092282854,2
0.1344983951670674,0.6045766130653325,2
0.1391183326710807,0.7942269942737448,0
0.3479691279149317,0.9990397382585596,0
0.1927451731351108,0.6384534275543047,0
0.2438505013455953,0.789232148053467,2
0.2964594630282869,0.635459885123674,3
0.4050856073832676,0.9647457905254292,2
0.0616229543520732,0.6335007499360821,4
0.1842067191150593,0.5897971990820298,0
0.0780923604199586,0.7848478319238471,0
0.521423596639288,0.9425994338777705,2
0.470504838643211,0.8382807442897982,3
0.4669501476000246,0.9330411715822136,2
0.3071415526102533,0.7523129327647977,2
0.3199401318603476,0.7565755202731617,0
0.3972711146668001,0.8710595711386178,0
0.2423893616967264,0.9061787786709284,0
0.4783305177449244,0.7996889819456409,5
